towN;genus;presence;N;N_km2;date;BAT;SLP;RGH;SUB;TFE;TEM;SAL;NIT;PHO;EKE
48;Scyliorhinus;0;0;0;01/12/2021;578,71;1,442070989;25;1;66,4997786;13,44726181;38,59135056;4,916674614;0,247685447;0,000210863
13;Scyliorhinus;1;1;1,944600116;15/12/2021;423,6;2,910998046;42;1;76,95128837;13,48209858;38,58905792;4,936564922;0,24821867;0,000294904
52;Scyliorhinus;0;0;0;15/12/2021;328,83;2,384663355;36;1;28,92155542;13,62064171;38,460186;4,605351448;0,242460459;0,000874513
61;Scyliorhinus;1;29;98,32808352;16/12/2021;73,125;0,703285091;4;1;64,38044391;14,29869175;38,26421356;3,058472157;0,192220047;0,000109419
66;Scyliorhinus;1;26;55,67580483;16/12/2021;119,28;0,2183278;4;1;110,0504444;15,11197281;37,89274216;3,053378582;0,201252013;0,001256338
25;Scyliorhinus;1;16;24,52433143;12/01/2022;331,83;1,845377942;77;1;58,04857805;13,67976189;38,52212143;4,890031338;0,248723969;2,44E-05
88;Scyliorhinus;1;11;19,78000687;12/01/2022;320,34;1,743005672;46;1;72,7784445;13,66268444;38,53859329;4,920724869;0,248752773;0,00021765
9;Scyliorhinus;1;9;19,15495164;13/01/2022;67,17;0,211798309;4;1;136,9126672;15,15113449;37,93033218;3,267913818;0,203459442;0,000112335
62;Scyliorhinus;1;36;110,0081773;13/01/2022;105;0,273744013;7;1;79,68711056;14,58228874;38,22765732;3,385849237;0,199086845;0,000315597
20;Scyliorhinus;0;0;0;14/01/2022;621,1;1,602253155;25;1;26,83288905;13,34323692;38,56919479;5,006203651;0,250624985;4,39E-05
8;Scyliorhinus;1;6;48,11305722;21/01/2022;257,25;7,556412139;248;1;258,2121785;13,83422661;38,39120102;4,630954266;0,250598401;1,94E-06
87;Scyliorhinus;1;38;88,40081054;21/01/2022;113,3;6,276712098;16;1;163,5737543;14,15837765;38,25069809;4,286019802;0,242240027;4,55E-05
40;Scyliorhinus;0;0;0;27/01/2022;537;2,443628713;72;1;55,4353334;13,39766884;38,58081818;4,733102798;0,238534033;2,86E-05
